bookmarked_at,BookmarkedAt,post_url,PostUrl,post_title,PostTitle
"March 1, 2020 at 04:35PM","March 1, 2020 at 04:35PM",https://uxdesign.cc/data-overload-is-a-design-problem-bcdb76e3cd6c?source=ifttt--------------2,https://uxdesign.cc/data-overload-is-a-design-problem-bcdb76e3cd6c?source=ifttt--------------2,Data overload is not about human limitations; it's about design failure,Data overload is not about human limitations; it's about design failure
"March 1, 2020 at 04:57PM","March 1, 2020 at 04:57PM",https://towardsdatascience.com/building-classification-models-with-sklearn-6a8fd107f0c1?source=ifttt--------------2,https://towardsdatascience.com/building-classification-models-with-sklearn-6a8fd107f0c1?source=ifttt--------------2,Building Classification Models with Sklearn,Building Classification Models with Sklearn
"March 1, 2020 at 04:58PM","March 1, 2020 at 04:58PM",https://uxdesign.cc/which-ux-research-methodology-should-you-use-chart-included-fd85dd2cd4bd?source=ifttt--------------2,https://uxdesign.cc/which-ux-research-methodology-should-you-use-chart-included-fd85dd2cd4bd?source=ifttt--------------2,Which UX Research methodology should you use? [Chart included],Which UX Research methodology should you use? [Chart included]
"March 2, 2020 at 06:00AM","March 2, 2020 at 06:00AM",https://uxdesign.cc/ux-inspiration-7-millers-law-69a659fb1263?source=ifttt--------------2,https://uxdesign.cc/ux-inspiration-7-millers-law-69a659fb1263?source=ifttt--------------2,UX Laws #4: Miller's Law,UX Laws #4: Miller's Law
"March 2, 2020 at 06:08AM","March 2, 2020 at 06:08AM",https://medium.com/inc./neuroscience-says-listening-to-this-song-reduces-anxiety-by-up-to-65-percent-d69ae1343a27?source=ifttt--------------2,https://medium.com/inc./neuroscience-says-listening-to-this-song-reduces-anxiety-by-up-to-65-percent-d69ae1343a27?source=ifttt--------------2,Neuroscience Says Listening to This Song Reduces Anxiety by Up to 65 Percent,Neuroscience Says Listening to This Song Reduces Anxiety by Up to 65 Percent
"March 2, 2020 at 06:09AM","March 2, 2020 at 06:09AM",https://medium.com/design-sprint-academy/design-sprints-vs-design-thinking-vs-agile-49afea5bedfe?source=ifttt--------------2,https://medium.com/design-sprint-academy/design-sprints-vs-design-thinking-vs-agile-49afea5bedfe?source=ifttt--------------2,Design Sprints vs Design Thinking vs Agile,Design Sprints vs Design Thinking vs Agile
"March 2, 2020 at 06:09AM","March 2, 2020 at 06:09AM",https://medium.com/@jotasolano/designing-digital-products-for-bioinformatics-part-ii-74ce01afc809?source=ifttt--------------2,https://medium.com/@jotasolano/designing-digital-products-for-bioinformatics-part-ii-74ce01afc809?source=ifttt--------------2,Designing digital products for bioinformatics -- Part II,Designing digital products for bioinformatics -- Part II
"March 2, 2020 at 06:10AM","March 2, 2020 at 06:10AM",https://uxdesign.cc/what-ux-from-1989-can-teach-us-22476ac5703c?source=ifttt--------------2,https://uxdesign.cc/what-ux-from-1989-can-teach-us-22476ac5703c?source=ifttt--------------2,What UX from 1989 can teach us,What UX from 1989 can teach us
"March 2, 2020 at 06:10AM","March 2, 2020 at 06:10AM",https://medium.com/@jotasolano/designing-digital-products-for-bioinformatics-part-i-3a7f0bac82f6?source=ifttt--------------2,https://medium.com/@jotasolano/designing-digital-products-for-bioinformatics-part-i-3a7f0bac82f6?source=ifttt--------------2,Designing digital products for bioinformatics -- Part I,Designing digital products for bioinformatics -- Part I
"March 2, 2020 at 06:03PM","March 2, 2020 at 06:03PM",https://uxdesign.cc/how-to-be-a-versatile-multicultural-competent-design-thinking-workshop-facilitator-c93ad1134146?source=ifttt--------------2,https://uxdesign.cc/how-to-be-a-versatile-multicultural-competent-design-thinking-workshop-facilitator-c93ad1134146?source=ifttt--------------2,How to be a versatile multicultural-competent Design Thinking workshop facilitator,How to be a versatile multicultural-competent Design Thinking workshop facilitator
